002Ua,r4rk1/pp3ppp/3p1q2/P1P1p3/2B5/2B2n2/2P2P1P/R2Q1RK1 w - - 0 16,g1h1 f6f4 d1f3 f4f3,1855,74,98,599,crushing kingsideAttack middlegame short,https://lichess.org/06i3eMVp#31
002uV,r2r2k1/1p2qppp/2n1p3/5n2/p2P4/P2Q1N2/BP3PPP/2R1R1K1 w - - 4 20,d3f5 e6f5 e1e7 c6e7,1613,77,82,62,advantage middlegame short,https://lichess.org/WKH5eIti#39
002xh,2nk4/8/2PBp1n1/1pK1P1p1/1P4P1/8/8/8 b - - 2 42,g6h4 c5b5 h4g2 b5a6 g2e3 a6b7,2009,108,54,22,crushing endgame long,https://lichess.org/TfRvsd3p/black#84
003IX,8/3pk3/R7/1R2Pp1p/2PPnKr1/8/8/8 w - - 4 43,f4f5 e4g3,1671,80,85,296,endgame mate mateIn1 oneMove,https://lichess.org/576Btq56#85
003Jb,6k1/3bqr1p/2rpp1pR/p7/Pp1QP3/1B3P2/1PP3P1/2KR4 w - - 6 22,d4a7 e7g5 c1b1 g5h6,1015,76,90,361,advantage fork middlegame short,https://lichess.org/8RvK0idj#43
003Tx,2r5/pR5p/5p1k/4p3/4r3/B4nPP/PP3P2/1K2R3 w - - 0 27,e1e4 f3d2 b1a1 c8c1,1724,79,87,496,backRankMate endgame fork mate mateIn2 short,https://lichess.org/A7j9VEC0#53
003YT,r1bqk1nr/1pp2ppp/p1pb4/4p3/3PP3/5N2/PPP2PPP/RNBQ1RK1 b kq - 0 6,d8f6 d4e5 d6e5 c1g5 f6d6 f3e5 d6d1 f1d1,1729,167,-60,12,advantage fork opening veryLong,https://lichess.org/TAffogpQ/black#12
003eP,8/r1b1q2k/2p3p1/2Pp4/1P2p1n1/2B1P3/NQ6/2K4R b - - 1 36,h7g8 h1h8 g8f7 h8h7 f7e8 h7e7,1236,75,93,1574,crushing exposedKing long middlegame skewer,https://lichess.org/n9vCFmKh/black#72
003jH,rn3rk1/p5pp/3N4/4np1q/5Q2/1P3K2/PB1P2P1/2R4R w - - 0 25,f3f2 e5d3 f2e3 d3f4 h1h5 f4h5,1167,75,89,260,crushing fork long middlegame,https://lichess.org/3CQGofXT#49
003jb,r3kb1r/p4ppp/b1p1p3/3q4/3Q4/4BN2/PPP2PPP/R3K2R b KQkq - 0 11,c6c5 d4a4 a6b5 a4b5,1150,79,94,519,crushing fork middlegame short,https://lichess.org/960EzUS0/black#22
003jv,1R6/1p2k2p/p2n2p1/4K3/8/6P1/P6P/8 w - - 10 37,b8h8 d6f7 e5e4 f7h8,988,80,89,331,crushing endgame fork short,https://lichess.org/n0UvwK36#73
003md,r1b1k2N/ppp3pp/2n5/2bp4/7q/1B4n1/PPPP1P1P/RNBQ1RK1 w q - 0 10,f1e1 g3e4 e1e4 d5e4 d1h5 h4h5 b3f7 h5f7,2177,77,83,195,crushing defensiveMove middlegame veryLong,https://lichess.org/ALtR2fxT#19
003nQ,6rk/pp6/2n5/3ppn1p/3p4/2P2P1q/PP3QNB/R4R1K w - - 2 29,f1g1 f5g3 f2g3 g8g3,1334,93,65,22,crushing kingsideAttack master middlegame pin short,https://lichess.org/p85fiZcl#57
003o0,r1bqk2r/pp1nbppp/3p4/1B1p4/3P1B2/8/PPP2PPP/R2QK1NR w KQkq - 2 9,g1f3 d8a5 d1d2 a5b5,1088,76,90,622,advantage fork master opening short,https://lichess.org/Ae0t9V1Z#17
003r5,r2qr1k1/ppp2ppp/4b3/3P4/1nP2Q2/2N2N1P/PP3KP1/R4R2 w - - 1 15,d5e6 b4d3 f2g1 d3f4,1288,75,93,413,crushing fork middlegame short,https://lichess.org/JPN97v7j#29
003wQ,2r2rk1/6pp/3Q1q2/8/3N1B2/6P1/PP1K3P/R4b2 w - - 0 24,a1f1 f6d6 f4d6 f8f1,1951,75,92,728,advantage discoveredAttack middlegame pin short,https://lichess.org/W3wvnzlo#47
0042j,3r2k1/4nppp/pq1p1b2/1p2P3/2r2P2/2P1NR2/PP1Q2BP/3R2K1 b - - 0 24,d6e5 d2d8 b6d8 d1d8,698,88,95,223,backRankMate mate mateIn2 middlegame short,https://lichess.org/DuM2FZjg/black#48
0045Q,rnbqkb1r/pppp2pp/8/4P3/2B5/4p3/PPPP2PP/R1BQK1NR w KQkq - 0 7,d1f3 d8h4 e1d1 h4c4,1287,76,97,8630,advantage fork opening short,https://lichess.org/fTegzZIT#13
0048h,4r3/p5k1/2p2R1p/2Pp4/1P1pr1P1/P6P/8/3R3K w - - 1 35,f6c6 e4e1 d1e1 e8e1 h1g2 d4d3,1099,133,86,17,crushing endgame exposedKing long rookEndgame,https://lichess.org/dq15P00L#69
004Ao,4qk2/1b3rR1/p7/1p2Q3/4P2P/P2P3K/2r5/3R4 w - - 5 41,g7f7 e8f7 e5h8 f8e7,1708,102,86,15,advantage endgame short,https://lichess.org/aFlzjb1K#81
004BW,r1bk2r1/ppq2pQp/3bpn2/1BpnN3/5P2/1P6/PBPP2PP/RN2K2R w KQ - 3 13,e5f7 d8e7 g7g8 f6g8,1709,75,93,404,advantage middlegame short,https://lichess.org/EXlG6TZs#25
004LZ,8/7R/5p2/p7/7P/2p5/3k2r1/1K2N3 w - - 3 48,e1g2 c3c2 b1a2 c2c1q h7d7 d2e2,1202,77,91,1697,advancedPawn crushing defensiveMove deflection endgame long promotion,https://lichess.org/drahwNdj#95
004Op,2kr2r1/1bp4n/1pq1p2p/p1P5/1P3B2/P6P/5RP1/RB2Q1K1 w - - 3 26,e1f1 d8d1 f1d1 g8g2 g1f1 g2g1 f1e2 g1d1,2142,77,92,517,crushing deflection kingsideAttack middlegame pin sacrifice skewer veryLong,https://lichess.org/tneg9Bzk#51
004Ys,r4rk1/3q1pbp/p1n1p1p1/2p3NP/1p3B2/3P3Q/PPP3P1/R3R1K1 b - - 2 19,d7d4 f4e3 d4f6 e1f1 f6e5 h5g6 e5e3 h3e3,2415,83,89,134,advantage defensiveMove middlegame veryLong,https://lichess.org/LcIJdugn/black#38
004iZ,r2r2k1/2q1bpp1/3p1n1p/1ppN4/1P1BP3/P5Q1/4RPPP/R5K1 b - - 1 20,f6d5 g3g7,1026,75,98,565,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/dQ85JUe1/black#40
004nd,3q2k1/2r5/pp3p1Q/2b1n3/P3N3/2P5/1P4PP/R6K b - - 0 24,c7d7 e4f6 d8f6 h6f6,978,97,95,144,crushing fork middlegame short,https://lichess.org/IajkZZBp/black#48
004sY,8/2k3n1/3p2p1/1KpP2Pp/2P4P/7B/8/8 w - - 0 57,b5a6 c7d8 a6b5 g7f5,2191,95,68,28,crushing endgame short,https://lichess.org/sMrTPfXp#113
004sg,6k1/p3b2p/1p1pP3/2p3P1/1Pnp3B/P6P/3Q3K/8 w - - 0 38,b4c5 c4d2 c5c6 d6d5 g5g6 e7d6,2469,102,89,734,advantage clearance endgame hangingPiece long quietMove,https://lichess.org/pSRIvt7K#75
004zI,2q3k1/4br1p/6RQ/1p1n2p1/7P/1P4P1/1B2PP2/6K1 b - - 0 27,h7g6 h6h8,1398,81,88,127,endgame mate mateIn1 oneMove,https://lichess.org/HE33gdt4/black#54
0050w,5rk1/1p2p1rp/p2p4/2pPb2R/2P1P3/1P1BKP1R/8/8 b - - 4 30,g7g3 h3g3 e5g3 h5g5 g8f7 g5g3,1098,76,95,780,crushing endgame fork long,https://lichess.org/QD8pUcTR/black#60
005HF,3r1rk1/1pR3pp/p2bp3/1q2Np2/3P4/1P5Q/5PPP/4R1K1 w - - 2 27,c7g7 g8g7 h3g3 g7h8,1341,81,66,41,crushing defensiveMove hangingPiece middlegame short,https://lichess.org/IqVPsfjB#53
005N7,r6k/2q3pp/8/2p1n3/R1Qp4/7P/2PB1PP1/6K1 b - - 0 32,e5c4 a4a8 c7b8 a8b8,705,82,93,922,backRankMate endgame hangingPiece mate mateIn2 short,https://lichess.org/jxZhmGhg/black#64
005YX,2rr4/2N2pk1/p1Q1b1pp/1p4q1/3pP3/1B1P4/PPP3PP/6RK w - - 7 25,c7e6 f7e6 c6b7 g7h8,1440,309,100,6,defensiveMove equality middlegame short,https://lichess.org/zbi5w5Qy#49
005f3,r5k1/2p1pp2/pp4p1/1q1r4/5P2/2QP2R1/PP6/1K4R1 b - - 0 32,d5h5 g3g6 f7g6 g1g6 g8f7 c3g7 f7e8 g7g8 e8d7 g8e6 d7d8 g6g8,1942,74,95,5620,crushing endgame sacrifice veryLong,https://lichess.org/Prb24UzR/black#64
005jJ,r1b1qrk1/pp1n1pbp/2pp1np1/4p3/2PP1B2/2NBPN1P/PP3PP1/R2Q1RK1 w - - 0 10,d4e5 d6e5 f4h2 e5e4,1474,109,78,14,advantage opening short,https://lichess.org/wt6Q2xGb#19
005qG,8/8/1p1k1p1p/3npp2/2B5/PP1K1PP1/7P/8 b - - 0 36,f5f4 c4d5 f4g3 h2g3 d6d5 g3g4,2262,95,63,43,crushing defensiveMove endgame long,https://lichess.org/RMj9gStA/black#72
